Id,ORGANIZATION,NAME,GENDER,SPECIALITY,ADDRESS,CITY,STATE,ZIP,LAT,LON,ENCOUNTERS,PROCEDURES
cc39471a-492d-3248-8cea-2c312f739994,17260c93-fcaf-3ccf-815b-0ddb786f5f6d,Gavin481 Jast432,M,GENERAL PRACTICE,1110 N WESTERN AVE,LOS ANGELES,CA,900291087,34.0536909,-118.242766,824,0
9295204a-a1fc-3e9e-bc1b-3c0d5d3db4eb,c14dfbe8-b54d-345e-9c25-25f803f7cf00,Yukiko930 Stamm704,F,GENERAL PRACTICE,5648 GOTHAM ST,BELL GARDENS,CA,902015413,33.961156,-118.166445,2,0
6b6c3d28-196f-3807-8221-df963c1adda2,c23c2ee1-24f4-3913-8a57-1510245030a9,Rosena550 Reinger292,F,GENERAL PRACTICE,10042 WOLF RD STE A,GRASS VALLEY,CA,959498192,39.2190607,-121.06292,47,0
2f662096-9790-3dcc-ac76-5ec46f347c83,ce6168de-efd3-3b56-9c53-b97b9c91e539,Lelia627 Jacobi462,F,GENERAL PRACTICE,13701 RIVERSIDE DR SUITE 316,SHERMAN OAKS,CA,914232447,34.1576114,-118.4401126,6,0
bb5ca067-02a6-36b7-91b6-4435e3a011ab,bf5c8080-2932-33cd-a909-544a6cf35968,Iraida50 Lehner980,F,GENERAL PRACTICE,26520 CACTUS AVE,MORENO VALLEY,CA,925553927,33.9119259,-117.19637878783084,108,0
ca6904d5-ee93-3750-a3fb-b76a64818a74,1dd0d14f-2ee5-33f6-a814-9ecc2a14998e,Audrea654 Braun514,F,GENERAL PRACTICE,870 HAMPSHIRE RD STE P,WESTLAKE VILLAGE,CA,913616041,34.15478506398215,-118.83157757806522,1,0
bc8af82a-aa47-3cb9-9c74-b382537c8a9b,4540ecfc-9ac2-39e0-a54a-8c6f281c83e7,Kris249 Treutel973,M,GENERAL PRACTICE,11100 WARNER AVE,FOUNTAIN VALLEY,CA,927087511,33.715711299999995,-117.9358160462603,28,0
daca8621-74af-3fe1-85c6-9ae4ad6c9c49,281b06af-1634-3402-aff7-fb15b28aa9b3,Nathanial472 Mitchell808,M,GENERAL PRACTICE,2080 NEWBURY RD,NEWBURY PARK,CA,91320,34.1832643283084,-118.9245233941602,1,0
149dbd50-1849-32f1-8cf5-455d08227a95,8c0220f0-7dcf-3b0d-a025-cd19ea25b9ae,Silvia880 Fajardo595,F,GENERAL PRACTICE,510 MILL ST,FOLSOM,CA,956302607,38.679738453588236,-121.16824432814472,1,0
83600d59-c396-3a21-bcf6-3f864bceb74b,b4352609-b23a-3cfe-8622-f33fc9f31673,Jesica465 Schultz619,F,GENERAL PRACTICE,39950 VISTA DEL SOL,RANCHO MIRAGE,CA,922703206,33.758467795918364,-116.39758967346938,6,0
40414a55-4d99-3177-94f7-ef8b4b2a4e92,165b6ac2-0973-39e8-834c-2294793473ea,Sonia106 Collado928,F,GENERAL PRACTICE,3800 KILROY AIRPORT WAY,LONG BEACH,CA,908066818,33.8072155,-118.1445534,37,0
9eb94a9c-d068-3f19-91c3-1b2638f70b48,32dd5695-3c26-3f1e-80e6-700668319d63,Gustavo235 Armstrong51,M,GENERAL PRACTICE,7485 MISSION VALLEY RD,SAN DIEGO,CA,921084422,32.779344,-117.160108,87,0
8d184ce7-66d0-3b36-b195-320c1821f80d,c0c76cf5-cb44-33cf-9897-dc9cdd38991c,Brendan864 Hintz995,M,GENERAL PRACTICE,2100 NAPA VALLEJO HIGHWAY,NAPA,CA,945586234,38.2795246,-122.2998321,360,0
1aa8f370-08d7-37bf-afc3-944a652cf27c,a5e9d63d-9eef-3426-aacd-8391a5ddaee4,Carla633 Tórrez28,F,GENERAL PRACTICE,1900 SULLIVAN AVE,MOSS BEACH,CA,940389641,37.52011950000001,-122.5096690223618,771,0
26506cc2-3baa-3918-8223-f822c82f0c0a,5d0ef748-1894-3819-a370-79b03a89ade2,Lindy582 Barton704,F,GENERAL PRACTICE,1532 SAN BERNARDINO AVE STE A2,POMONA,CA,917673559,34.075793,-117.720272,11,0
19ff8215-27fe-3fce-bc85-cdc60df538e8,b0917462-e530-3a1d-944f-b219d683c645,Malia984 Gutkowski940,F,GENERAL PRACTICE,19270 SONOMA HIGHWAY 12,SONOMA,CA,95476,38.5110803,-122.8473388,28,0
ef0a2750-038a-3aeb-9e17-58d8e1a20fa2,3a4c88b6-541b-3b16-b98c-51d004309a89,Joe656 Jakubowski832,M,GENERAL PRACTICE,16237 VENTURA BLVD,ENCINO,CA,914362201,34.15736795,-118.4868709353006,34,0
e820b546-08c6-30a5-8e6e-62119dd91d41,0ff78642-3664-3211-929e-6a024de979bb,Yvette315 Shields502,F,GENERAL PRACTICE,141 SOUTH KNOTT AVENUE,ANAHEIM,CA,928041406,33.8228826,-118.0108498,10,0
a5b19dbd-9b7a-349a-aa7a-f043165ef68c,1382083f-082e-3567-9141-e4829c9ffd8d,Ramiro608 Klocko335,M,GENERAL PRACTICE,925 S GARFIELD AVE,ALHAMBRA,CA,918014442,34.085471909090906,-118.12315104545455,1,0
da4e5cc8-d68d-3d43-9409-07dfa98601d1,96dea34d-4514-3e60-9980-3fa591e9f75c,Vonda514 Kihn564,F,GENERAL PRACTICE,22931 TRITON WAY,LAGUNA HILLS,CA,926531237,33.629467316460676,-117.73288998198733,2,0
10fad18d-f702-3ff6-9bcc-6672e4917a0a,e44dacce-e648-30bf-997a-71f98f2bc5d4,María Cristina383 Juárez383,F,GENERAL PRACTICE,2018  N DEL ROSA AVE.,SAN BERNARDINO,CA,924045642,34.13428232096253,-117.25248710620508,19,0
6078a5c6-4c6a-3708-a27e-b621cde5c6a3,8b2ec3b3-4e89-37ec-8d84-906506468ede,Sheryl275 Brekke496,F,GENERAL PRACTICE,7601 IMPERIAL HWY,DOWNEY,CA,902423456,33.9404441,-118.1292846,268,0
a9fbc74c-899d-325b-aa03-5791338f8139,0072bb4c-2b6a-38df-80fa-149efbc6f22f,Hailey792 White193,F,GENERAL PRACTICE,3816 WOODRUFF AVE STE 410,LONG BEACH,CA,908082146,33.82809,-118.1152833,48,0
f13cc7c1-6c2f-3305-91e6-c173722d82aa,684019f5-b9b1-3434-a8de-4404456113ea,Shondra529 Predovic534,F,GENERAL PRACTICE,14624 SHERMAN WAY,VAN NUYS,CA,914052241,34.201020652669236,-118.45191213169848,37,0
480e5f4e-0e6a-36e7-8de6-b80a95dac19e,5c406b49-c04d-373f-a1c5-2b5629f41047,Marc757 Greenholt190,M,GENERAL PRACTICE,901 CAMPUS DR,DALY CITY,CA,940154930,37.6650855,-122.4756885,192,0
ae6cdcf7-8cbd-3baa-bab2-d3651d5ec1a7,114a07ed-4cce-3e93-a4be-a00ed0adf33e,Misty404 Mertz280,F,GENERAL PRACTICE,444 IRVING DR SUITE 202,BURBANK,CA,915042415,34.20014293159927,-118.32769283550091,1,0
9ccf3a0f-6e9f-35b7-99e2-4f73956e3c7b,e6b250a5-9204-325f-923f-e3b8e19ce550,Artie871 Hodkiewicz467,F,GENERAL PRACTICE,1100 BUTTE ST,REDDING,CA,960010852,40.585181649999996,-122.38762824209377,7,0
fb99f2dd-f12f-39cd-95a7-fbdf7c62f4e6,a57489e4-f665-3dde-8406-9ff3f0a5b508,Danita413 Becker968,F,GENERAL PRACTICE,1555 SOQUEL DRIVE,SANTA CRUZ,CA,950651705,36.99011325,-121.98355367962361,197,0
ed1aa6d0-3ebb-3193-9912-87707154bf5a,a2acc2d6-25c5-330d-8d81-118480281b9c,Carlena776 Steuber698,F,GENERAL PRACTICE,3630 E IMPERIAL HWY,SOUTH GATE,CA,902806237,33.9305079,-118.174463,166,0
68665b96-cc76-323c-8522-10362a3b1508,b99ea3cb-9411-3f1f-8e9d-afcc06aef3c6,Chance908 Aufderhar910,M,GENERAL PRACTICE,465 W PUTNAM AVE,PORTERVILLE,CA,932573709,36.068604199999996,-119.02597760625369,28,0
2f2c56ae-093f-36ba-a6ce-965ddfd6cb1a,bc450266-f594-3852-8438-6ebd550172f9,Silvia880 Zelaya592,F,GENERAL PRACTICE,26520 CACTUS AVE,MORENO VALLEY,CA,925553927,33.9119259,-117.19637878783084,28,0
70c665cd-0a3e-36d2-a39e-495e8df5c3b8,d82396dd-d4a4-3ccd-9084-a5f92c781de4,Waneta858 Effertz744,F,GENERAL PRACTICE,2211 MOUNT VERNON AVENUE,BAKERSFIELD,CA,933063309,35.38804571428572,-118.96734848979592,2,0
0322d17d-f41e-30f6-a096-2fcd4f61458d,189e625c-01ca-34b7-8b4f-4324540efd44,Florentino8 Kessler503,M,GENERAL PRACTICE,1600 SAN FERNANDO ROAD,SAN FERNANDO,CA,913403115,34.288946,-118.447908,53,0
